자치구,사고년도,20세 이하,21-30,31-40,41-50,51-60,61-64,65세 이상
강남구,2017년,99,191,153,123,112,32,99
강남구,2018년,88,188,144,103,100,30,95
강남구,2019년,103,212,168,117,89,43,90
강남구,2020년,56,226,150,106,77,23,77
강남구,2021년,69,177,131,97,73,28,81
강동구,2017년,58,48,50,63,81,31,94
강동구,2018년,45,51,41,67,72,25,91
강동구,2019년,48,54,39,54,84,34,122
강동구,2020년,30,44,47,39,60,30,92
강동구,2021년,22,32,28,34,36,14,75
강북구,2017년,47,78,34,52,92,31,96
강북구,2018년,30,48,38,68,76,29,107
강북구,2019년,46,48,44,58,76,29,94
강북구,2020년,14,45,40,32,64,18,58
강북구,2021년,19,49,22,39,34,21,75
강서구,2017년,50,47,52,43,80,29,99
강서구,2018년,55,57,47,44,65,33,84
강서구,2019년,60,70,46,52,95,32,108
강서구,2020년,35,53,41,41,58,33,82
강서구,2021년,44,40,33,43,51,17,108
관악구,2017년,46,64,44,41,52,24,95
관악구,2018년,35,69,43,39,57,30,80
관악구,2019년,27,66,49,34,49,30,94
관악구,2020년,27,66,41,30,52,24,85
관악구,2021년,23,76,44,41,36,20,73
광진구,2017년,48,43,33,32,45,23,58
광진구,2018년,37,57,27,27,44,16,55
광진구,2019년,41,60,29,35,34,18,41
광진구,2020년,24,57,21,22,26,10,27
광진구,2021년,29,53,14,22,33,15,41
구로구,2017년,47,54,38,54,60,28,87
구로구,2018년,41,45,40,46,73,28,103
구로구,2019년,57,53,45,55,77,30,90
구로구,2020년,28,52,20,41,63,23,66
구로구,2021년,24,37,30,36,51,20,74
금천구,2017년,25,30,27,43,63,11,50
금천구,2018년,23,34,27,43,58,13,68
금천구,2019년,29,28,37,31,57,26,50
금천구,2020년,12,37,21,29,32,14,52
금천구,2021년,15,20,21,20,36,18,43
노원구,2017년,73,43,29,50,71,20,84
노원구,2018년,48,45,39,44,78,32,94
노원구,2019년,63,63,45,42,56,33,110
노원구,2020년,26,39,22,40,59,18,77
노원구,2021년,38,34,27,31,50,19,79
도봉구,2017년,39,36,26,41,61,23,77
도봉구,2018년,38,27,18,33,57,27,82
도봉구,2019년,37,17,17,30,54,19,89
도봉구,2020년,15,25,22,23,36,24,78
도봉구,2021년,18,18,10,19,24,14,62
동대문구,2017년,51,57,53,62,112,42,137
동대문구,2018년,45,69,35,62,91,40,146
동대문구,2019년,40,57,28,51,93,18,133
동대문구,2020년,18,35,31,32,61,23,125
동대문구,2021년,15,43,26,26,54,31,111
동작구,2017년,38,64,53,50,66,23,92
동작구,2018년,47,99,35,52,60,22,107
동작구,2019년,42,79,51,47,57,33,89
동작구,2020년,18,73,33,32,57,20,74
동작구,2021년,25,54,48,32,45,18,62
마포구,2017년,61,131,69,60,54,10,75
마포구,2018년,69,112,49,44,43,19,61
마포구,2019년,39,122,39,28,48,21,62
마포구,2020년,19,89,31,34,31,12,47
마포구,2021년,21,67,35,30,24,6,43
서대문구,2017년,45,62,28,32,49,21,71
서대문구,2018년,33,74,25,37,44,16,96
서대문구,2019년,42,62,45,23,45,20,87
서대문구,2020년,20,38,25,26,29,17,50
서대문구,2021년,26,34,18,23,27,17,70
서초구,2017년,76,124,70,86,73,34,93
서초구,2018년,65,121,86,75,73,27,76
서초구,2019년,59,110,73,63,61,25,67
서초구,2020년,41,84,69,59,65,16,58
서초구,2021년,39,116,60,39,59,15,47
성동구,2017년,17,45,34,27,45,20,54
성동구,2018년,33,51,34,42,45,18,48
성동구,2019년,31,28,24,30,40,14,57
성동구,2020년,18,50,34,24,43,15,58
성동구,2021년,16,51,35,31,41,13,55
성북구,2017년,67,56,37,35,62,26,127
성북구,2018년,53,61,33,44,59,35,102
성북구,2019년,54,62,36,38,63,25,128
성북구,2020년,24,46,25,55,65,18,107
성북구,2021년,32,44,32,29,52,27,79
송파구,2017년,99,115,86,70,106,37,104
송파구,2018년,76,117,95,90,100,40,126
송파구,2019년,87,112,79,74,87,32,115
송파구,2020년,40,69,82,71,88,30,92
송파구,2021년,35,99,70,58,65,44,93
양천구,2017년,69,39,40,46,70,20,84
양천구,2018년,66,40,33,44,74,29,80
양천구,2019년,69,38,31,39,77,25,93
양천구,2020년,40,32,26,36,43,29,73
양천구,2021년,43,29,26,34,52,25,74
영등포구,2017년,48,68,85,77,112,46,117
영등포구,2018년,51,85,66,82,103,53,119
영등포구,2019년,51,93,71,78,98,43,122
영등포구,2020년,29,69,57,48,58,32,76
영등포구,2021년,27,60,49,38,62,23,75
용산구,2017년,30,60,50,31,36,17,62
용산구,2018년,30,69,50,37,32,12,64
용산구,2019년,30,67,36,23,46,17,40
용산구,2020년,12,38,36,16,15,7,31
용산구,2021년,7,50,25,27,23,8,32
은평구,2017년,78,53,40,50,69,29,94
은평구,2018년,60,50,26,39,65,23,104
은평구,2019년,42,41,31,53,57,22,114
은평구,2020년,23,46,32,27,58,18,70
은평구,2021년,29,42,21,22,41,22,73
종로구,2017년,22,52,49,51,60,22,75
종로구,2018년,23,55,51,48,49,30,79
종로구,2019년,15,68,42,45,46,29,58
종로구,2020년,7,38,37,25,42,17,56
종로구,2021년,9,37,23,20,33,12,44
중구,2017년,22,48,48,44,62,19,72
중구,2018년,16,50,38,52,50,18,66
중구,2019년,16,50,39,53,55,21,49
중구,2020년,15,33,29,25,47,26,64
중구,2021년,7,35,22,21,29,12,44
중랑구,2017년,54,46,33,64,100,29,102
중랑구,2018년,55,51,41,52,98,35,97
중랑구,2019년,54,49,33,63,110,35,124
중랑구,2020년,24,54,29,49,75,22,99
중랑구,2021년,26,40,43,40,75,31,73
